"filename", "language", "JavaScript JSX", "TypeScript JSX", "JavaScript", "TypeScript", "CSS", "HTML", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/api/webhooks/stripe.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 29, 8, 57
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/custom.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 8, 72
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/favorites.jsx", "JavaScript JSX", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 171
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/index.tsx", "TypeScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 43, 18, 195
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/payment.jsx", "JavaScript JSX", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 11, 183
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/profile.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 82
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/register.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 31
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/success.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/table.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 51
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/toplist.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/videos.tsx", "TypeScript JSX", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 41, 24, 284
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/videos2.tsx", "TypeScript JSX", 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 279
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/styles/globals.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/tailwind.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 2, 16
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/test.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/types/mongodb.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/utils/utils.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 1236, 599, 572, 158, 73, 0, 28, 54853, 4, 48, 427, 385, 58383
