"filename", "language", "JavaScript", "HTML", "JSON with Comments", "JSON", "Markdown", "JavaScript JSX", "XML", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 43, 15, 179
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 73, 10, 157
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 12, 8, 90
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/table.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 5, 51
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/toplist.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/useFetch.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/videos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 41, 24, 284
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/videos2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 8, 25, 266
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/pages/videos3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/tailwind.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 16
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/test.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/types/mongodb.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"/Users/justin/Desktop/Organized/Freelance/adsreveal/test/utils/utils.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 539, 0, 27, 10536, 48, 1060, 4, 601, 73, 116, 428, 364, 13796
